id,dzien_rozliczenia,product1,product2,product3,product4
22,2023-10-05,190.0,90,0.0,0.0
31,2023-10-05,110.0,47,0.0,4.0
20,2023-10-05,148.0,95,0.0,4.0
21,2023-10-05,105.0,51,0.0,2.0
19,2023-10-05,201.0,69,0.0,6.0
29,2023-10-04,176.5,81,0.0,4.0
35,2023-10-04,120.0,42,0.0,3.0
24,2023-10-04,148.0,53,0.0,0.0
18,2023-10-04,70.0,38,0.0,6.0
17,2023-10-04,85.0,51,0.0,0.0
14,2023-10-03,191.0,65,0.0,6.0
16,2023-10-03,89.0,48,0.0,4.0
13,2023-10-03,112.0,53,0.0,12.0
38,2023-10-03,61.0,32,0.0,0.0
15,2023-10-03,100.0,17,0.0,5.0
40,2023-10-02,170.0,57,0.0,0.0
10,2023-10-02,89.0,48,0.0,0.0
12,2023-10-02,66.0,41,0.0,8.0
11,2023-10-02,125.0,56,0.0,12.0
28,2023-10-01,100.0,58,4.0,0.0
17,2023-09-30,300.0,136,8.0,10.0
34,2023-09-30,200.0,20,0.0,0.0
26,2023-09-30,158.0,100,2.0,0.0
27,2023-09-30,98.0,41,1.0,5.0
25,2023-09-30,170.0,53,4.0,4.0
14,2023-09-29,135.0,30,3.0,4.0
39,2023-09-29,59.0,19,2.0,11.0
23,2023-09-29,165.0,40,5.0,7.0
36,2023-09-29,32.0,4,0.0,0.0
32,2023-09-29,130.0,64,29.0,2.0
31,2023-09-28,105.0,50,3.0,12.0
19,2023-09-28,190.0,66,9.0,2.0
20,2023-09-28,185.0,105,10.0,9.0
22,2023-09-28,135.0,62,6.0,6.0
21,2023-09-28,129.0,64,3.0,0.0
24,2023-09-27,160.0,67,0.0,0.0
29,2023-09-27,202.0,89,2.0,0.0
17,2023-09-27,106.0,35,5.0,0.0
18,2023-09-27,85.5,41,3.0,0.0
35,2023-09-27,138.0,54,9.0,10.0
39,2023-09-26,20.0,4,1.0,0.0
15,2023-09-26,120.0,23,5.0,6.0
14,2023-09-26,170.0,36,2.0,0.0
16,2023-09-26,95.0,62,2.0,0.0
13,2023-09-26,115.0,46,9.0,10.0
10,2023-09-25,100.0,62,10.0,3.0
11,2023-09-25,100.0,33,5.0,3.0
12,2023-09-25,65.0,44,8.0,3.0
40,2023-09-25,158.0,63,18.0,0.0
28,2023-09-24,115.0,69,1.0,0.0
27,2023-09-23,115.0,55,9.0,4.0
26,2023-09-23,135.0,67,4.0,0.0
17,2023-09-23,272.0,106,13.0,2.0
34,2023-09-23,155.0,38,13.0,1.0
25,2023-09-23,205.0,60,4.0,9.0
39,2023-09-22,42.0,17,2.0,0.0
38,2023-09-22,89.0,9,4.0,0.0
32,2023-09-22,130.0,56,31.0,4.0
23,2023-09-22,167.0,46,7.0,15.0
14,2023-09-22,160.0,30,6.0,3.0
31,2023-09-21,118.0,38,11.0,2.0
19,2023-09-21,215.0,59,4.0,5.0
22,2023-09-21,160.0,74,12.0,3.0
20,2023-09-21,188.0,133,17.0,12.0
21,2023-09-21,110.0,74,12.0,2.0
17,2023-09-20,90.0,56,7.0,2.0
29,2023-09-20,195.0,72,3.0,0.0
24,2023-09-20,170.0,74,7.0,1.0
35,2023-09-20,169.0,64,21.0,0.0
18,2023-09-20,79.0,32,1.0,0.0
16,2023-09-19,73.0,45,2.0,3.0
14,2023-09-19,135.0,24,2.0,0.0
13,2023-09-19,115.0,37,2.0,1.0
15,2023-09-19,125.0,17,2.0,1.0
39,2023-09-19,20.0,1,0.0,0.0
11,2023-09-18,110.0,54,18.0,4.0
40,2023-09-18,137.0,55,10.0,3.0
12,2023-09-18,60.0,44,6.0,4.0
10,2023-09-18,110.0,56,17.0,1.0
39,2023-09-17,54.0,0,0.0,0.0
28,2023-09-17,115.5,60,5.0,0.0
26,2023-09-16,110.0,60,3.0,0.0
34,2023-09-16,180.0,36,2.0,0.0
17,2023-09-16,299.0,114,8.0,4.0
27,2023-09-16,119.0,60,14.0,7.0
25,2023-09-16,190.0,35,10.0,9.0
32,2023-09-15,150.0,63,52.0,6.0
39,2023-09-15,43.0,11,0.0,8.0
38,2023-09-15,84.0,32,5.0,0.0
23,2023-09-15,170.0,46,5.0,1.0
14,2023-09-15,135.0,28,9.0,4.0
31,2023-09-14,94.0,40,7.0,2.0
22,2023-09-14,190.0,87,17.0,1.0
21,2023-09-14,110.0,61,4.0,2.0
