,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,k
0,200,5,2,sqrt,15,poisson,1
1,100,2,1,log2,15,poisson,2
2,200,2,2,sqrt,,poisson,3
3,500,2,1,sqrt,,absolute_error,4
4,500,5,1,sqrt,15,squared_error,5
5,500,5,1,sqrt,,poisson,6
6,500,5,1,sqrt,20,poisson,7
7,500,5,1,sqrt,20,poisson,8
